id,sitename,nearesttown,state,country,website,region,longitude,latitude,phone,numberofsites,distancefromtown
26,Big Bend,Fort Collins,Colorado,USA,,Southwest,-105.724,40.708,970.498.1375/970.295.6600,8,34.6
27,Big Blue,Sapeniro,Colorado,USA,,Southwest,-107.385,38.217,970.641.0471/970.874.6600,11,17.3
28,Big Cimarron,Cimarron,Colorado,USA,,Southwest,-107.545,38.258,,10,12.8
29,Big Creek,Collbran,Colorado,USA,,Southwest,-107.883,39.078,970.242.8211/970.874.6600,26,12
30,Big Creek Lakes,,Colorado,USA,,Southwest,-106.609,40.935,970.723.8204/307.745.2300,54,
31,Big Dominguez,Whitewater,Colorado,USA,,Southwest,-108.55,38.745,,9,17.8
32,Big Meadows,South Fork,Colorado,USA,,Southwest,-106.795,37.54,719.657.3321/719-852-5941,61,12.4
33,Big South,Fort Collins,Colorado,USA,,Southwest,-105.807,40.633,970.498.1375/970.295.6600,4,38
34,Blacktail Creek,Yampa,Colorado,USA,,Southwest,-106.581,40.067,970.638.4516/307.745.2300,8,18.3
35,Blanco River,Pagosa,Colorado,USA,,Southwest,-106.885,37.145,970.264.2268/970.247.4874,6,11
36,Blodgett,Vail,Colorado,USA,,Southwest,-106.366,39.472,970.827.5715/970.945.2521,6,11.6
37,Blue Lake,La Veta,Colorado,USA,,Southwest,-105.139,37.313,719.269.8500/719.545.8737,16,15.1
38,Blue Mountain,Florissant,Colorado,USA,,Southwest,-105.362,38.961,719.836.2031/719.545.8737,21,4.1
39,Blue River,Silverthorne,Colorado,USA,,Southwest,-106.131,39.726,970.468.5400/970.945.2521,24,7.4
40,Bockman - State Forest State Park,Walden,Colorado,USA,,Southwest,-105.965,40.56,970.723.8366,52,20.5
41,Bogan Flats,Redstone,Colorado,USA,,Southwest,-107.262,39.1,970.963.2266/970.945.2521,36,5.7
42,Bonham Lake City Park,,Colorado,USA,,Southwest,-107.898,39.104,903.583.8001,,
43,Boulder County Fairground,Boulder,Colorado,USA,,Southwest,-105.126,40.155,303.678.1525,,12.4
44,Boyd Lake State Park,Loveland,Colorado,USA,,Southwest,-105.058,40.43,970.669.1739,148,2.4
45,Bradfield,Cortez,Colorado,USA,,Southwest,-108.738,37.657,,22,22.9
46,Bridge,Pagosa Springs,Colorado,USA,,Southwest,-107.199,37.465,970.264.2268/970.247.4874,19,17
47,Bristol Head,Creede,Colorado,USA,,Southwest,-107.144,37.818,719.657.3321/719-852-5941,16,12.1
48,Browns Park,Gould,Colorado,USA,,Southwest,-105.927,40.796,970.498.1375/970.295.6600,28,19.3
49,Brush Memorial RV Park,Brush,Colorado,USA,,Southwest,-103.625,40.249,970.842.5001,24,0.7
50,Buckeye,Paradox,Colorado,USA,,Southwest,-109.045,38.44,435.259.7155/435.637.2817,37,6.6
51,Buckingham,Boulder,Colorado,USA,,Southwest,-105.634,39.994,,10,19.3
52,Buffalo,Buffalo Creek,Colorado,USA,,Southwest,-105.329,39.341,303.275.5610/719.545.8737,41,4.4
53,Buffalo Pass,Saguache,Colorado,USA,,Southwest,-106.517,38.185,719.655.2547/719-852-5941,24,21.5
54,Buffalo Springs,Fairplay,Colorado,USA,,Southwest,-105.987,39.032,719.836.2031/719.545.8737,18,13.3
55,Burning Bear,Jefferson,Colorado,USA,,Southwest,-105.711,39.513,303.275.5610/719.545.8737,13,10.6
56,Burro Bridge,Dolores,Colorado,USA,,Southwest,-108.066,37.788,,12,32.3
57,Byers Creek,Fraser,Colorado,USA,,Southwest,-105.897,39.876,970.887.4100/970.295.6600,6,6.4
58,Cabin Canyon,Cortez,Colorado,USA,,Southwest,-108.694,37.63,970.882.6800/970.247.4874,11,20.3
59,Camp Dick,Ward,Colorado,USA,,Southwest,-105.521,40.128,303.541.2500/970.295.6600,41,3.9
60,Camp Hale Memorial,Minturn,Colorado,USA,,Southwest,-106.314,39.42,970.827.5715/970.945.2521,21,13.1
61,Carp Lake,Cedaredge,Colorado,USA,,Southwest,-107.983,39.042,970.242.8211/970.874.6600,20,10.1
62,Carpios Ridge - Trinidad Lake State Park,Trinidad,Colorado,USA,,Southwest,-104.57,37.144,719.846.6951,63,4.2
63,Carter Lake - North Side Campgrounds,Loveland,Colorado,USA,,Southwest,-105.22,40.355,800.397.7795,,8.2
64,Carter Lake - South Side Campgrounds,Berthoud,Colorado,USA,,Southwest,-105.209,40.32,800.397.7795,,6.8
65,Cascade,Nathrop,Colorado,USA,,Southwest,-106.245,38.71,719.539.3591/719.545.8737,22,9.5
66,Casey Jones Park,Elizabeth,Colorado,USA,,Southwest,-104.584,39.364,303.646.2346,15,0.7
67,Catamount,Eagle,Colorado,USA,,Southwest,-106.832,39.891,,,16.3
68,Cataract Creek,Silverthorne,Colorado,USA,,Southwest,-106.307,39.837,970.468.5400/970.945.2521,5,19.1
69,Cathedral,Del Norte,Colorado,USA,,Southwest,-106.605,37.822,719.657.3321/719-852-5941,29,16.9
70,Cayton,Rico,Colorado,USA,,Southwest,-107.977,37.77,970.882.6800/970.247.4874,27,6.1
71,Cebolla,Lake City,Colorado,USA,,Southwest,-107.1,38.047,,21,11.8
72,Cement Creek,Crested Butte,Colorado,USA,,Southwest,-106.837,38.828,970.641.0471/970.874.6600,13,8.6
73,Chalk Lake,Nathrop,Colorado,USA,,Southwest,-106.233,38.713,719.539.3591/719.545.8737,19,8.8
74,Chambers Lake,Rustic,Colorado,USA,,Southwest,-105.852,40.597,970.498.1375/970.295.6600,44,15.9
75,Chapman,Basalt,Colorado,USA,,Southwest,-106.637,39.309,970.963.2266/970.945.2521,84,21.6
76,Chapman Reservoir,Yampa,Colorado,USA,,Southwest,-107.091,40.186,970.638.4516/307.745.2300,12,9.9
77,Chatfield State Park,Littleton,Colorado,USA,,Southwest,-105.063,39.539,303.791.7275,193,5.7
78,Cherry Creek State Park,Aurora,Colorado,USA,,Southwest,-104.829,39.647,303.690.1166,102,5.7
79,Cheyenne Mountain State Park,Colorado Sprin,Colorado,USA,,Southwest,-104.809,38.738,719.576.2016,61,7.3
80,Cimarron - Curecanti National Rec Area,Cimarron,Colorado,USA,,Southwest,-107.554,38.442,970.641.2337,22,0.1
81,Cimarrona,Pagosa Springs,Colorado,USA,,Southwest,-107.209,37.539,970.264.2268/970.247.4874,21,21.6
82,Clear Creek RV Park,Golden,Colorado,USA,,Southwest,-105.231,39.754,303.278.1437,36,0.5
83,Clear Lake,Georgetown,Colorado,USA,,Southwest,-105.708,39.652,303.567.3000/970.295.6600,8,3.8
84,Coaldale,Salida,Colorado,USA,,Southwest,-105.804,38.334,719.539.3591/719.545.8737,10,17.4
85,Coffee Pot Spring,Gypsum,Colorado,USA,,Southwest,-107.204,39.676,970.328.6388/970.945.2521,10,13.5
86,Cold Spring,Almont,Colorado,USA,,Southwest,-106.642,38.767,970.641.0471/970.874.6600,6,13.1
87,Cold Springs,Yampa,Colorado,USA,,Southwest,-107.119,40.03,970.638.4516/307.745.2300,5,14
88,Cold Springs,Black Hawk,Colorado,USA,,Southwest,-105.497,39.842,303.567.3000/970.295.6600,38,3.1
89,Collbran - Cottonwood Lake,Cedaredge,Colorado,USA,,Southwest,-107.957,39.081,970.242.8211/970.874.6600,56,12.5
90,Collegiate Peaks,Buena Vista,Colorado,USA,,Southwest,-106.316,38.813,719.539.3591/719.545.8737,56,10.1
91,Colorado,Woodland Park,Colorado,USA,,Southwest,-105.094,39.08,719.636.1602/719.545.8737,81,6.3
92,Columbine,Central City,Colorado,USA,,Southwest,-105.549,39.817,303.567.3000/970.295.6600,45,2.1
93,Columbine,Montrose,Colorado,USA,,Southwest,-108.381,38.424,970.240.5300/970.874.6600,6,27.5
94,Comanche,Ohio City,Colorado,USA,,Southwest,-106.603,38.599,,4,2.3
95,Comstock,Monte Vista,Colorado,USA,,Southwest,-106.362,37.445,719.657.3321/719-852-5941,8,14.9
96,Conejos,Antonito,Colorado,USA,,Southwest,-106.444,37.171,719.274.8971/719-852-5941,15,24.8
97,Cottonwood Lake,Buena Vista,Colorado,USA,,Southwest,-106.292,38.782,719.539.3591/719.545.8737,24,9.6
98,Cove,Woodland Park,Colorado,USA,,Southwest,-105.461,38.909,719.836.2031/719.545.8737,4,22.5
99,Cow Creek,Silverthorne,Colorado,USA,,Southwest,-106.279,39.875,970.262.3442,40,20.2
100,Crags,Divide,Colorado,USA,,Southwest,-105.12,38.871,719.636.1602/719.545.8737,17,5.3
101,Crawford State Park,Crawford,Colorado,USA,,Southwest,-107.599,38.688,970.921.5721,44,1.2
102,Crook - Browns Wildlife Area,Maybell,Colorado,USA,,Southwest,-108.923,40.81,303.297.1192,20,48.2
103,Crosho Lake Recreation Area,Oak Creek,Colorado,USA,,Southwest,-107.052,40.17,970.638.4516/307.745.2300,10,8.8
104,Cross Creek,South Fork,Colorado,USA,,Southwest,-106.65,37.581,719.657.3321/719-852-5941,12,6.2
105,Crow Valley,Fort Collins,Colorado,USA,,Southwest,-104.343,40.644,970.346.5000/970.295.6600,10,39.1
106,Davenport,Colorado City,Colorado,USA,,Southwest,-105.071,38.055,719.269.8500/719.545.8737,12,14.9
107,Davis Springs,Silverthorne,Colorado,USA,,Southwest,-106.231,39.838,970.468.5400/970.945.2521,7,16.7
108,Dearhamer,Basalt,Colorado,USA,,Southwest,-106.738,39.361,970.963.2266/970.945.2521,13,15.8
109,Deep Lake,Gypsum,Colorado,USA,,Southwest,-107.302,39.772,970.328.6388/970.945.2521,35,20.5
110,Deer Creek,Bailey,Colorado,USA,,Southwest,-105.554,39.508,303.275.5610/719.545.8737,13,8.3
111,Deer Lakes,Lake City,Colorado,USA,,Southwest,-107.188,38.022,970.641.0471/970.874.6600,12,7
112,Deerlodge Park - Dinosaur National Monument,Maybell,Colorado,USA,,Southwest,-108.523,40.45,,10,23.4
113,Del Norte City Park,Del Norte,Colorado,USA,,Southwest,-106.353,37.683,,,0.3
114,Denver Creek,Granby,Colorado,USA,,Southwest,-106.079,40.255,970.887.4100/970.295.6600,22,13.8
115,Devils Head,Sedalia,Colorado,USA,,Southwest,-105.103,39.271,303.275.5610/719.545.8737,21,13.8
116,Dexter,,Colorado,USA,,Southwest,-106.325,39.092,719.486.0749/719.545.8737,24,
117,Difficult,Aspen,Colorado,USA,,Southwest,-106.774,39.141,970.963.2266/970.945.2521,47,4.2
118,Dinner Station,Almont,Colorado,USA,,Southwest,-106.587,38.905,970.641.0471/970.874.6600,22,21.7
119,Divide Fork,Grand Junction,Colorado,USA,,Southwest,-108.689,38.684,970.242.8211/970.874.6600,11,27.3
120,Dorchester,Almont,Colorado,USA,,Southwest,-106.663,38.965,970.641.0471/970.874.6600,10,23
121,Dowdy Lake,Red Feather Lakes,Colorado,USA,,Southwest,-105.557,40.791,970.498.1375/970.295.6600,70,2
122,Dry Gulch - Curecanti Area,Gunnison,Colorado,USA,,Southwest,-107.187,38.481,970.641.2337,10,14.8
123,Dry Lake,Steamboat Springs,Colorado,USA,,Southwest,-106.781,40.536,970.879.1870/307.745.2300,8,4.4
124,Duffy Mountain - Yampa River State Park,Craig,Colorado,USA,,Southwest,-107.896,40.435,970.276.2061,7,19.2
125,Dumont Lake,Steamboat Springs,Colorado,USA,,Southwest,-106.627,40.405,970.879.1870/307.745.2300,22,12.1
126,Dutch George,Fort Collins,Colorado,USA,,Southwest,-105.444,40.697,970.498.1375/970.295.6600,20,20.4
127,Early Settlers - Vega State Park,Collbran,Colorado,USA,,Southwest,-107.811,39.215,970.487.3407,33,8.2
128,East Beach - Bonny Lake State Park,Idalia,Colorado,USA,,Southwest,-102.17,39.613,970.354.7306,,9.1
129,East Cross Mountain - Yampa River State Park,Maybell,Colorado,USA,,Southwest,-108.321,40.482,970.276.2061,11,12.5
130,East Fork,Pagosa Springs,Colorado,USA,,Southwest,-106.889,37.377,970.264.2268/970.247.4874,26,9.9
131,East Marvine,Meeker,Colorado,USA,,Southwest,-107.426,40.011,970.878.4039/970.945.2521,7,25.8
132,East Portal - Curecanti National Rec Area,Gunnison,Colorado,USA,,Southwest,-107.65,38.525,970.641.2337,15,39.2
133,Echo Lake - Idaho Springs,Idaho Springs,Colorado,USA,,Southwest,-105.593,39.658,303.567.3000/970.295.6600,18,7.2
134,Echo Park - Dinosaur National Monument,Maybell,Colorado,USA,,Southwest,-108.983,40.525,,17,47.1
135,Eggleston,Cedaredge,Colorado,USA,,Southwest,-107.936,39.049,,6,10.2
136,Elbert Creek,Leadville,Colorado,USA,,Southwest,-106.418,39.152,719.486.0749/719.545.8737,17,9.6
137,Eleven Mile State Park,Lake George,Colorado,USA,,Southwest,-105.503,38.937,719.748.3401,350,8.4
138,Elk Creek,Antonito,Colorado,USA,,Southwest,-106.368,37.126,719.274.8971/719-852-5941,31,20.1
139,Elk Creek - Curecanti Area,Gunnison,Colorado,USA,,Southwest,-107.167,38.466,970.641.2337,160,14.2
140,Elk Wallow,Basalt,Colorado,USA,,Southwest,-106.612,39.344,970.963.2266/970.945.2521,7,22.6
141,Elliott Creek,Silverthorne,Colorado,USA,,Southwest,-106.325,39.874,970.468.5400/970.945.2521,15,21.6
142,Empire City RV Parking,Emprire,Colorado,USA,,Southwest,-105.684,39.762,303.569.2978,,0
143,Erickson Springs,Paonia,Colorado,USA,,Southwest,-107.264,38.958,970.527.4131/970.874.6600,18,18.7
144,Farish Military - USAF Academy,Colorado Springs,Colorado,USA,,Southwest,-104.994,39.01,719.687.9098,,15.3
145,Father Dyer,Leadville,Colorado,USA,,Southwest,-106.352,39.276,719.486.0749/719.545.8737,26,3.6
146,Ferris Canyon,Cortez,Colorado,USA,,Southwest,-108.647,37.618,970.882.6800/970.247.4874,7,18.9
147,Five Points - Arkansas Headwaters State Rec Area,,Colorado,USA,,Southwest,-105.536,38.441,719.539.7289,12,
148,Flat Rocks,Sedalia,Colorado,USA,,Southwest,-105.086,39.326,303.275.5610/719.545.8737,19,10.2
149,Flatiron Reservoir,Loveland,Colorado,USA,,Southwest,-105.233,40.372,800.387.7795,,8.5
150,Fleming RV Park,Fleming,Colorado,USA,,Southwest,-102.845,40.681,970.265.2591?,,0.3
151,Florida,Bayfield,Colorado,USA,,Southwest,-107.682,37.452,970.884.2512/970.247.4874,20,16.3
152,Foster Grove - Bonny Lake State Park,Idalia,Colorado,USA,,Southwest,-102.22,39.614,970.354.7306,49,7.3
153,Fourmile,Fairplay,Colorado,USA,,Southwest,-106.104,39.21,719.836.2031/719.545.8737,14,5.5
154,Freeman Reservoir,Craig,Colorado,USA,,Southwest,-107.421,40.762,970.879.1870/307.745.2300,18,18.3
155,Fruita - Colorado River State Park,Fruita,Colorado,USA,,Southwest,-108.74,39.15,970.434.3388,45,0.9
156,Fulford Cave,Eagle,Colorado,USA,,Southwest,-106.658,39.492,970.328.6388/970.945.2521,7,14.5
157,Garfield,Salida,Colorado,USA,,Southwest,-106.302,38.547,,11,16.4
158,Gates of Lodore - Dinosaur National Monument,Maybell,Colorado,USA,,Southwest,-108.887,40.727,970.374.3000,17,44.4
159,Geneva Park,Jefferson,Colorado,USA,,Southwest,-105.737,39.532,303.275.5610/719.545.8737,25,11.2
160,Georgetown Lake,Georgetown,Colorado,USA,,Southwest,-105.689,39.734,,,1.9
161,Glacier Basin - Rocky Mountain National Park,Estes Park,Colorado,USA,,Southwest,-105.596,40.33,970.586.1419,150,5.1
162,Gold Creek,Gunnison,Colorado,USA,,Southwest,-106.574,38.655,970.641.0471/970.874.6600,6,20.4
163,Gold Park,Minturn,Colorado,USA,,Southwest,-106.436,39.404,970.827.5715/970.945.2521,11,12.6
164,Goose Creek,Woodland Park,Colorado,USA,,Southwest,-105.359,39.171,303.275.5610/719.545.8737,10,20.3
165,Gore Creek,Vail,Colorado,USA,,Southwest,-106.275,39.627,970.827.5715/970.945.2521,25,5.4
166,Gore Pass,Kremmling,Colorado,USA,,Southwest,-106.56,40.074,,12,9.1
167,Gothic,Crested Butte,Colorado,USA,,Southwest,-107.006,38.982,,4,7.8
168,Graham Creek,Bayfield,Colorado,USA,,Southwest,-107.54,37.391,970.884.2512/970.247.4874,25,11.8
169,Grand View,Fort Collins,Colorado,USA,,Southwest,-105.772,40.503,970.498.1375/970.295.6600,9,36.5
170,Granite,Steamboat Springs,Colorado,USA,,Southwest,-106.691,40.496,970.879.1870/307.745.2300,8,7.4
171,Grape Creek - Temple Canyon Park,Canon City,Colorado,USA,,Southwest,-105.316,38.407,,,5.4
172,Green Mountain,Deckers,Colorado,USA,,Southwest,-105.356,39.326,303.275.5610/719.545.8737,6,8.5
173,Green Ridge,Granby,Colorado,USA,,Southwest,-105.844,40.206,970.887.4100/970.295.6600,78,9.7
174,Greenhorn Meadows Park,Colorado City,Colorado,USA,,Southwest,-104.846,37.936,719.676.3059,26,0.9
175,Grizzly Creek,Walden,Colorado,USA,,Southwest,-106.599,40.557,,12,20.5
176,Guanella Pass,Georgetown,Colorado,USA,,Southwest,-105.716,39.613,303.567.3000/970.295.6600,18,6.5
177,Gypsum,Glenwood Springs,Colorado,USA,,Southwest,-106.952,39.651,,,21
178,Hahns Peak Lake,Steamboat Springs,Colorado,USA,,Southwest,-106.997,40.84,970.879.1870/307.745.2300,26,26
179,Halfmoon,Leadville,Colorado,USA,,Southwest,-106.432,39.501,970.827.5715/970.945.2521,7,18.8
180,Halfmoon East,Leadville,Colorado,USA,,Southwest,-106.396,39.161,719.486.0749/719.545.8737,6,8.3
181,Halfmoon West,Leadville,Colorado,USA,,Southwest,-106.397,39.158,719.486.0749/719.545.8737,16,8.5
182,Hall Valley,Webster,Colorado,USA,,Southwest,-105.805,39.483,303.275.5610/719.545.8737,9,5.2
183,Handcart,Jefferson,Colorado,USA,,Southwest,-105.802,39.482,,10,7.2
184,Hansons Mill,Creede,Colorado,USA,,Southwest,-106.737,37.813,719.657.3321/719-852-5941,5,10.6
185,Happy Meadows,Woodland Park,Colorado,USA,,Southwest,-105.362,39.015,719.836.2031/719.545.8737,8,16.5
186,Harvester Park,Haxtun,Colorado,USA,,Southwest,-102.624,40.646,,10,0.3
187,Haviland Lake,Durango,Colorado,USA,,Southwest,-107.808,37.534,970.884.2512/970.247.4874,43,18.3
188,Hayden Creek,Salida,Colorado,USA,,Southwest,-105.823,38.33,719.539.3591/719.545.8737,11,17.1
189,Headquarters  - Yampa River State Park,Hayden,Colorado,USA,,Southwest,-107.311,40.49,970.276.2061,50,2.9
190,Heaton Bay,Frisco,Colorado,USA,,Southwest,-106.078,39.604,970.468.5400/970.945.2521,81,2.3
191,Hecla Junction - Arkansas Headwaters State Rec Area,Salida,Colorado,USA,,Southwest,-106.052,38.653,719.539.7289,,8.6
192,Hermit Park Open Space,Estes Park,Colorado,USA,,Southwest,-105.464,40.335,800.397.7795,,4.2
193,Hidden Lakes,Walden,Colorado,USA,,Southwest,-106.608,40.507,970.723.8204/307.745.2300,9,23
194,Hidden Valley,Lake City,Colorado,USA,,Southwest,-107.133,38.041,970.641.0471/970.874.6600,4,9.9
195,Hideaway Park,Winter Park,Colorado,USA,,Southwest,-105.784,39.919,,,2.2
196,Highline Lake State Park,Loma,Colorado,USA,,Southwest,-108.836,39.27,970.858.7208,25,5.3
197,Highway Springs,South Fork,Colorado,USA,,Southwest,-106.685,37.622,719.657.3321/719-852-5941,11,4.1
198,Himes Peak,Buford,Colorado,USA,,Southwest,-107.272,40.028,970.878.4039/970.945.2521,11,18.5
199,Hinman Park,Steamboat Springs,Colorado,USA,,Southwest,-106.834,40.749,970.879.1870/307.745.2300,13,18.2
200,Hornsilver,Minturn,Colorado,USA,,Southwest,-106.366,39.472,970.827.5715/970.945.2521,7,8.6
201,Horseshoe,Parshall,Colorado,USA,,Southwest,-106.096,39.9,970.638.4516/307.745.2300,7,11.6
202,Horseshoe,Fairplay,Colorado,USA,,Southwest,-106.086,39.202,719.836.2031/719.545.8737,19,4.8
203,Horseshoe,,Colorado,USA,,Southwest,-107.113,40.035,,7,
204,House Creek,Dolores,Colorado,USA,,Southwest,-108.535,37.516,970.882.6800/970.247.4874,65,3.4
205,Hovenweep National Monument,Cortez,Colorado,USA,,Southwest,-109.071,37.383,970.562.4282,30,26.8
206,Hugo City Park,Hugo,Colorado,USA,,Southwest,-103.471,39.134,,10,0.2
207,Idlewild,Winter Park,Colorado,USA,,Southwest,-105.778,39.904,970.887.4100/970.295.6600,24,1.1
208,Indian Creek,Sedalia,Colorado,USA,,Southwest,-105.098,39.381,303.275.5610/719.545.8737,11,8.3
209,Inlet Bay - Horsetooth Reservoir,Fort Collins,Colorado,USA,,Southwest,-105.161,40.527,,,5.7
210,Irish Canyon,Maybell,Colorado,USA,,Southwest,-108.734,40.826,,,40
211,Iron City,Nathrop,Colorado,USA,,Southwest,-106.338,38.709,719.539.3591/719.545.8737,15,14.4
212,Iron Springs,Montrose,Colorado,USA,,Southwest,-108.164,38.317,970.240.5300/970.874.6600,8,19.2
213,Island Acres - James M. Robb - Colorado River State Park,Palisade,Colorado,USA,,Southwest,-108.301,39.168,970.434.3388,60,4.8
214,Island Lake,Cedaredge,Colorado,USA,,Southwest,-108.011,39.032,970.242.8211/970.874.6600,41,10.1
215,Ivy Creek,Creede,Colorado,USA,,Southwest,-107,37.681,719.657.3321/719-852-5941,6,12.3
216,Jacks Gulch,Rustic,Colorado,USA,,Southwest,-105.525,40.633,970.498.1375/970.295.6600,56,5.4
217,Jackson Creek,Denver,Colorado,USA,,Southwest,-105.089,39.251,303.275.5610/719.545.8737,9,34.1
218,Jackson Lake State Park,Orchard,Colorado,USA,,Southwest,-104.093,40.385,970.645.2551,250,4
219,Jefferson Creek,Jefferson,Colorado,USA,,Southwest,-105.853,39.433,719.836.2031/719.545.8737,17,4.8
220,Jumbo,Mesa,Colorado,USA,,Southwest,-108.094,39.053,970.242.8211/970.874.6600,26,8.2
221,Junction Creek,Durango,Colorado,USA,,Southwest,-107.917,37.337,970.884.2512/970.247.4874,44,4.7
222,Juniper Breaks - Lake Pueblo State Park,Pueblo,Colorado,USA,,Southwest,-104.755,38.277,719.561.9320,,8.1
223,Juniper Canyon - Yampa River State Park,Craig,Colorado,USA,,Southwest,-107.953,40.47,970.276.2061,8,21.6
224,Kelly Dahl,Nederland,Colorado,USA,,Southwest,-105.498,39.932,303.541.2500/970.295.6600,46,2.1
225,Kelly Flats,Rustic,Colorado,USA,,Southwest,-105.483,40.681,970.498.1375/970.295.6600,29,5.3
226,Kelsey,Bailey,Colorado,USA,,Southwest,-105.265,39.306,303.275.5610/719.545.8737,17,13.1
227,Kenosha Pass,Jefferson,Colorado,USA,,Southwest,-105.761,39.414,303.275.5610/719.545.8737,25,3.3
228,Kiser Creek,Cedaredge,Colorado,USA,,Southwest,-107.948,39.038,,12,9.5
229,Kite Lake,Alma,Colorado,USA,,Southwest,-106.128,39.329,719.836.2031/719.545.8737,5,4.7
230,Kroeger,Durango,Colorado,USA,,Southwest,-108.077,37.376,970.884.2512/970.247.4874,11,12.9
231,La Vista - Lake Isabel,Colorado City,Colorado,USA,,Southwest,-105.059,37.984,719.269.8500/719.545.8737,29,12.5
232,Lake Creek,Westcliffe,Colorado,USA,,Southwest,-105.662,38.265,719.269.8500/719.545.8737,11,13.9
233,Lake Fork,Antonito,Colorado,USA,,Southwest,-106.477,37.309,719.274.8971/719-852-5941,20,30.3
234,Lake Fork - Curecanti Area,Gunnison,Colorado,USA,,Southwest,-107.323,38.455,970.641.2337,82,22.4
235,Lake Hasty - John Martin State Park,Hasty,Colorado,USA,,Southwest,-102.933,38.075,719.829.1801,213,2.9
236,Lake Irwin,Crested Butte,Colorado,USA,,Southwest,-107.108,38.881,970.641.0471/970.874.6600,32,6.5
237,Lakeview - Almont,,Colorado,USA,,Southwest,-106.58,38.818,970.641.0471/970.874.6600,35,
238,Lakeview - Twin Lakes,Leadville,Colorado,USA,,Southwest,-106.366,39.098,719.486.0749/719.545.8737,27,11.3
239,Lincoln Gulch,Aspen,Colorado,USA,,Southwest,-106.695,39.117,970.963.2266/970.945.2521,7,8.3
240,Little Mattie,Basalt,Colorado,USA,,Southwest,-106.806,39.378,970.963.2266/970.945.2521,22,12.2
241,Little Maud,Basalt,Colorado,USA,,Southwest,-106.813,39.375,970.963.2266/970.945.2521,20,11.7
242,Lodgepole - Almont,Almont,Colorado,USA,,Southwest,-106.662,38.761,970.641.0471/970.874.6600,16,12
243,Lodgepole - Jefferson,Jefferson,Colorado,USA,,Southwest,-105.843,39.423,719.836.2031/719.545.8737,34,3.9
244,Lone Rock,Woodland Park,Colorado,USA,,Southwest,-105.235,39.252,303.275.5610/719.545.8737,20,20.2
245,Long Draw,Gould,Colorado,USA,,Southwest,-105.767,40.515,970.498.1375/970.295.6600,25,13.8
246,Longs Peak - Rocky Mountain National Park,Estes Park,Colorado,USA,,Southwest,-105.559,40.275,970.586.1206,26,7.3
